device,time,temperature,co2,humidity,battery,dewpoint,room
70B3D55F200001BC,2021-04-22 17:17:39+00,21.1,441,44,3,8.36,main bedroom
70B3D55F200001B9,2021-04-22 17:17:39+00,18.7,433,48,3,7.46,second bedroom
70B3D55F200001B9,2021-04-22 17:25:10+00,19.4,436,46,3,7.48,second bedroom
70B3D55F200001BB,2021-04-22 17:19:12+00,18.1,430,52,3,8.08,lounge
70B3D55F200001BC,2021-04-22 17:25:11+00,21.8,426,43,3,8.66,main bedroom
70B3D55F200001BB,2021-04-22 17:34:15+00,19.4,426,49,3,8.4,lounge
70B3D55F200001BB,2021-04-22 17:26:43+00,18.8,434,50.5,3,8.3,lounge
70B3D55F200001BB,2021-04-22 17:41:47+00,19.9,421,47.5,3,8.4,lounge
70B3D55F200001B9,2021-04-22 17:32:39+00,19.9,444,44.5,3,7.44,second bedroom
70B3D55F200001BC,2021-04-22 17:32:42+00,22.4,432,42,3,8.85,main bedroom
70B3D55F200001B9,2021-04-22 17:40:07+00,20.1,439,44.5,3,7.63,second bedroom
70B3D55F200001BC,2021-04-22 17:40:14+00,22.8,424,41.5,3,9.03,main bedroom
70B3D55F200001BB,2021-04-22 17:49:17+00,20.3,420,46.5,3,8.45,lounge
70B3D55F200001B9,2021-04-22 17:47:36+00,20,421,45.5,3,7.86,second bedroom
70B3D55F200001BC,2021-04-22 17:47:42+00,23.2,454,40.5,3,9.03,main bedroom
70B3D55F200001B9,2021-04-22 17:55:04+00,19.9,442,46.5,3,8.09,second bedroom
70B3D55F200001BC,2021-04-22 17:55:11+00,23.6,420,40,3,9.2,main bedroom
70B3D55F200001B9,2021-04-22 18:02:36+00,20,421,46.5,3,8.18,second bedroom
70B3D55F200001BB,2021-04-22 17:56:46+00,20.6,423,45.5,3,8.41,lounge
70B3D55F200001BC,2021-04-22 18:02:41+00,23.8,421,39.5,3,9.19,main bedroom
70B3D55F200001BB,2021-04-22 18:11:48+00,21,413,44.5,3,8.44,lounge
70B3D55F200001BB,2021-04-22 18:04:17+00,20.9,407,45,3,8.51,lounge
70B3D55F200001B9,2021-04-22 18:10:07+00,20,427,46.5,3,8.18,second bedroom
70B3D55F200001BC,2021-04-22 18:10:10+00,24.1,458,39,3,9.27,main bedroom
70B3D55F200001B9,2021-04-22 18:17:35+00,20.1,436,46.5,3,8.27,second bedroom
70B3D55F200001BC,2021-04-22 18:17:41+00,24.3,446,39,3,9.45,main bedroom
70B3D55F200001BB,2021-04-22 18:19:16+00,21.2,414,44,3,8.45,lounge
70B3D55F200001B9,2021-04-22 18:25:03+00,20.1,440,47,3,8.43,second bedroom
70B3D55F200001BC,2021-04-22 18:25:13+00,24.4,440,38.5,3,9.34,main bedroom
70B3D55F200001BB,2021-04-22 18:26:45+00,21.3,402,43.5,3,8.38,lounge
70B3D55F200001BB,2021-04-22 18:41:45+00,21.6,396,43,3,8.48,lounge
70B3D55F200001B9,2021-04-22 18:32:31+00,20.2,423,46.5,3,8.36,second bedroom
70B3D55F200001BC,2021-04-22 18:32:45+00,24.5,446,38.5,3,9.43,main bedroom
70B3D55F200001BB,2021-04-22 18:34:15+00,21.5,405,43.5,3,8.56,lounge
70B3D55F200001B9,2021-04-22 18:40:01+00,20.2,447,46.5,3,8.36,second bedroom
70B3D55F200001BC,2021-04-22 18:40:13+00,24.6,430,38,3,9.33,main bedroom
70B3D55F200001B9,2021-04-22 18:47:32+00,20.2,447,46.5,3,8.36,second bedroom
70B3D55F200001BC,2021-04-22 18:47:42+00,24.7,447,38,3,9.42,main bedroom
70B3D55F200001B9,2021-04-22 18:55:04+00,20.2,436,46.5,3,8.36,second bedroom
70B3D55F200001BB,2021-04-22 18:49:14+00,21.6,400,42.5,3,8.3,lounge
70B3D55F200001BC,2021-04-22 18:55:10+00,24.7,452,37.5,3,9.22,main bedroom
70B3D55F200001BB,2021-04-22 18:56:43+00,21.7,407,42.5,3,8.39,lounge
70B3D55F200001BB,2021-04-22 19:04:13+00,21.8,401,42,3,8.31,lounge
70B3D55F200001B9,2021-04-22 19:02:36+00,20.3,437,46,3,8.29,second bedroom
70B3D55F200001BC,2021-04-22 19:02:39+00,24.7,438,37.5,3,9.22,main bedroom
70B3D55F200001BB,2021-04-22 19:11:45+00,21.8,402,42,3,8.31,lounge
70B3D55F200001B9,2021-04-22 19:10:07+00,20.4,434,46,3,8.39,second bedroom
70B3D55F200001BC,2021-04-22 19:10:10+00,24.8,449,37.5,3,9.31,main bedroom
70B3D55F200001BB,2021-04-22 19:19:14+00,21.9,408,42,3,8.4,lounge
70B3D55F200001BC,2021-04-22 19:17:38+00,24.8,447,37,3,9.11,main bedroom
70B3D55F200001B9,2021-04-22 19:17:38+00,20.4,448,46,3,8.39,second bedroom
70B3D55F200001BC,2021-04-22 19:25:06+00,24.9,453,37,3,9.2,main bedroom
70B3D55F200001B9,2021-04-22 19:25:07+00,20.5,466,45.5,3,8.32,second bedroom
70B3D55F200001BB,2021-04-22 19:26:46+00,21.9,425,41.5,3,8.22,lounge
70B3D55F200001BB,2021-04-22 19:34:16+00,22,412,41.5,3,8.31,lounge
70B3D55F200001BC,2021-04-22 19:32:37+00,24.9,462,37,3,9.2,main bedroom
70B3D55F200001B9,2021-04-22 19:32:39+00,20.5,433,45.5,3,8.32,second bedroom
70B3D55F200001BB,2021-04-22 19:41:47+00,22,412,41,3,8.13,lounge
70B3D55F200001B9,2021-04-22 19:40:07+00,20.5,451,45.5,3,8.32,second bedroom
70B3D55F200001BC,2021-04-22 19:40:07+00,25,465,36.5,3,9.08,main bedroom
70B3D55F200001BC,2021-04-22 19:47:39+00,25,447,36.5,3,9.08,main bedroom
70B3D55F200001BB,2021-04-22 19:49:16+00,22.1,409,41,3,8.22,lounge
70B3D55F200001B9,2021-04-22 19:47:39+00,20.6,448,45.5,3,8.41,second bedroom
70B3D55F200001BC,2021-04-22 19:55:07+00,25,449,36.5,3,9.08,main bedroom
70B3D55F200001B9,2021-04-22 19:55:11+00,20.6,437,45,3,8.24,second bedroom
70B3D55F200001BB,2021-04-22 19:56:48+00,22.1,397,41,3,8.22,lounge
