Created via cygcheck -c command
The cygwin package version used to download was 2.83

Cygwin Package Information
Package                             Version              Status
libopenssl100                       1.0.1e-2             OK
libosp5                             1.5.2-2              OK
libostyle1                          1.4devel1-2          OK
libp11-kit-devel                    0.18.7-1             OK
libp11-kit0                         0.18.7-1             OK
libpango1.0-devel                   1.34.1-1             OK
libpango1.0_0                       1.34.1-1             OK
libpaper-common                     1.1.24-2             OK
libpaper1                           1.1.24-2             OK
libpcre-devel                       8.33-1               OK
libpcre0                            8.21-2               OK
libpcre1                            8.33-1               OK
libpcre16_0                         8.33-1               OK
libpcre32_0                         8.33-1               OK
libpcrecpp0                         8.33-1               OK
libpcreposix0                       8.33-1               OK
libpixman1-devel                    0.30.2-1             OK
libpixman1_0                        0.30.2-1             OK
libplotter2                         2.6-2                OK
libpng-devel                        1.5.12-1             OK
libpng12                            1.2.50-2             OK
libpng14                            1.4.12-3             OK
libpng15                            1.5.12-1             OK
libpoppler28                        0.20.5-2             OK
libpopt0                            1.6.4-4              OK
libppl9                             0.11.2-1             OK
libppl_c4                           0.11.2-1             OK
libpq5                              9.2.4-2              OK
libproxy1                           0.4.11-2             OK
libpstoedit0                        3.62-1               OK
libptexenc1                         20130529-1           OK
libpwl5                             0.11.2-1             OK
libquadmath0                        4.7.3-1              OK
libquota-devel                      1.42.7-1             OK
librarian0                          0.8.1-12             OK
libreadline6                        5.2.14-12            OK
libreadline7                        6.1.2-3              OK
libroken18                          1.5.2-4              OK
librsvg2_2                          2.36.4-1             OK
libsasl2_3                          2.1.26-5             OK
libserf1_0                          1.3.1-1              OK
libsigsegv2                         2.10-1               OK
libSM-devel                         1.2.1-1              OK
libSM6                              1.2.1-1              OK
libsource-highlight-common          3.1.7-4              OK
libsource-highlight4                3.1.7-4              OK
libsqlite3_0                        3.7.17-3             OK
libss-devel                         1.42.7-1             OK
libss2                              1.42.7-1             OK
libssh2_1                           1.4.2-1              OK
libssp0                             4.7.3-1              OK
libstartup-notification1_0          0.12-2               OK
libstdc++6                          4.7.3-1              OK
libstdc++6-devel                    4.7.3-1              OK
libtasn1-devel                      3.3-1                OK
libtasn1_3                          2.14-1               OK
libtasn1_6                          3.3-1                OK
libthai0                            0.1.19-1             OK
libtiff5                            3.9.7-1              OK
libtool                             2.4-1                OK
libustr1                            1.0.4-12             OK
libuuid-devel                       2.21.2-1             OK
libuuid1                            2.21.2-1             OK
libwind0                            1.5.2-4              OK
libWINGs2                           0.95.4-1             OK
libwrap0                            7.6-21               OK
libwraster3                         0.95.4-1             OK
libX11-devel                        1.6.0-1              OK
libX11-xcb1                         1.6.0-1              OK
libX11_6                            1.6.0-1              OK
libXau-devel                        1.0.8-1              OK
libXau6                             1.0.8-1              OK
libXaw-devel                        1.0.11-1             OK
libXaw3d-devel                      1.6.2-1              OK
libXaw3d7                           1.5D-10              OK
libXaw3d8                           1.6.2-1              OK
libXaw7                             1.0.11-1             OK
libxcb-composite0                   1.9.1-2              OK
libxcb-damage0                      1.9.1-2              OK
libxcb-devel                        1.9.1-2              OK
libxcb-ewmh2                        0.3.9-1              OK
libxcb-glx0                         1.9.1-2              OK
libxcb-icccm4                       0.3.9-1              OK
libxcb-image0                       0.3.9-1              OK
libxcb-render-devel                 1.9.1-2              OK
libxcb-render0                      1.9.1-2              OK
libxcb-shape0                       1.9.1-2              OK
libxcb-shm-devel                    1.9.1-2              OK
libxcb-shm0                         1.9.1-2              OK
libxcb-util1                        0.3.9-1              OK
libxcb-xfixes0                      1.9.1-2              OK
libxcb-xtest0                       1.9.1-2              OK
libxcb1                             1.9.1-2              OK
libXcomposite-devel                 0.4.3-1              OK
libXcomposite1                      0.4.3-1              OK
libXcursor-devel                    1.1.14-1             OK
libXcursor1                         1.1.14-1             OK
libxcwm0                            20130802-1           OK
libXdamage-devel                    1.1.4-1              OK
libXdamage1                         1.1.4-1              OK
libXdmcp-devel                      1.1.1-1              OK
libXdmcp6                           1.1.1-1              OK
libXext-devel                       1.3.2-1              OK
libXext6                            1.3.2-1              OK
libXfixes-devel                     5.0.1-1              OK
libXfixes3                          5.0.1-1              OK
libXfont-devel                      1.4.6-1              OK
libXft-devel                        2.3.1-1              OK
libXft2                             2.3.1-1              OK
libXi-devel                         1.7.2-1              OK
libXi6                              1.7.2-1              OK
libXinerama-devel                   1.1.3-1              OK
libXinerama1                        1.1.3-1              OK
libxkbfile1                         1.0.8-1              OK
libXm2                              0.95.2-2             OK
libXm4                              2.3.4-1              OK
libxml2                             2.9.1-1              OK
libxml2-devel                       2.9.1-1              OK
libXmu-devel                        1.1.1-1              OK
libXmu6                             1.1.1-1              OK
libXmuu1                            1.1.1-1              OK
libXpm-devel                        3.5.10-1             OK
libXpm-noX-devel                    3.5.10-1             OK
libXpm-noX_4                        3.5.10-1             OK
libXpm4                             3.5.10-1             OK
libXrandr-devel                     1.4.1-1              OK
libXrandr2                          1.4.1-1              OK
libXrender-devel                    0.9.8-1              OK
libXrender1                         0.9.8-1              OK
libxslt                             1.1.28-1             OK
libxslt-devel                       1.1.28-1             OK
libXss1                             1.2.2-1              OK
libXt-devel                         1.1.4-1              OK
libXt6                              1.1.4-1              OK
libXtst6                            1.2.2-1              OK
libyaml0_2                          0.1.4-1              OK
libzip                              0.11.1-1             OK
libzip-devel                        0.11.1-1             OK
libzip2                             0.11.1-1             OK
libzzip0.13                         0.13.62-1            OK
llvm                                3.1-3                OK
login                               1.10-10              OK
luit                                20121014-1           OK
m4                                  1.4.17-1             OK
make                                4.0-2                OK
makedepend                          1.0.5-1              OK
man                                 1.6g-2               OK
mc                                  4.8.10-1             OK
mingw-binutils                      2.23.1-1             OK
mingw-gcc-core                      4.7.3-1              OK
mingw-libbz2-devel                  1.0.6-2              OK
mingw-libbz2_2                      1.0.6-2              OK
mingw-pthreads                      20110507-2           OK
mingw-runtime                       4.0-1                OK
mingw-w32api                        4.0-1                OK
mintty                              1.1.3-1              OK
mkfontdir                           1.0.7-1              OK
mkfontscale                         1.1.1-1              OK
mksh                                48b-1                OK
nano                                2.2.6-1              OK
ncurses                             5.7-18               OK
nedit                               5.5-6                OK
netpbm                              10.61.02-1           OK
openbox                             3.5.2-1              OK
openjade                            1.4devel1-2          OK
OpenSP                              1.5.2-2              OK
openssh                             6.3p1-1              OK
openssl                             1.0.1e-2             OK
p11-kit                             0.18.7-1             OK
p11-kit-trust                       0.18.7-1             OK
patch                               2.7.1-1              OK
patchutils                          0.3.2-1              OK
perl                                5.14.2-3             OK
perl-Error                          0.17016-1            OK
perl-Tk                             804.030-3            OK
perl-Win32-GUI                      1.06-4               OK
perl_vendor                         5.14.2-3             OK
ping                                1.0-1                OK
pkg-config                          0.23b-10             OK
poppler-data                        0.4.6-1              OK
procps                              3.2.8-1              OK
psmisc                              22.16-1              OK
python                              2.7.3-1              OK
python-libxml2                      2.9.1-1              OK
python-xdg                          0.25-2               OK
python3                             3.2.3-1              OK
randrproto                          1.4.0-1              OK
rarian                              0.8.1-12             OK
readline                            6.1.2-3              OK
rebase                              4.4.0-1              OK
renderproto                         0.11.1-1             OK
rsh                                 0.17-2               OK
rsh-server                          0.17-2               OK
rstart                              1.0.5-1              OK
rsync                               3.0.9-1              OK
ruby                                1.9.3-p448-1         OK
ruby-json                           1.8.0-1              OK
ruby-rake                           10.0.4-1             OK
ruby-rdoc                           3.12.2-1             OK
run                                 1.3.0-1              OK
run2                                0.4.2-2              OK
rxvt                                20050409-21          OK
rxvt-unicode-common                 9.15-2               OK
rxvt-unicode-X                      9.15-2               OK
sed                                 4.2.2-3              OK
sgml-common                         0.6.3-3              OK
shared-mime-info                    1.1-1                OK
sharutils                           4.10-2               OK
shutdown                            1.10-1               OK
source-highlight                    3.1.7-4              OK
subversion                          1.8.3-1              OK
subversion-tools                    1.8.3-1              OK
sysvinit                            2.86-11              OK
t1lib5                              5.1.2-12             OK
tar                                 1.26-1               OK
tcl                                 8.5.11-1             OK
tcl-tk                              8.5.11-1             OK
tcsh                                6.18.01-1            OK
terminfo                            5.7_20091114-14      OK
terminfo0                           5.5_20061104-12      OK
texinfo                             4.13-4               OK
texlive                             20130529-1           OK
texlive-collection-basic            20130529-1           OK
texlive-collection-bibtexextra      20130529-1           OK
texlive-collection-binextra         20130529-1           OK
texlive-collection-fontsrecommended 20130529-1           OK
texlive-collection-latex            20130529-1           OK
texlive-collection-latexextra       20130529-1           OK
texlive-collection-latexrecommended 20130529-1           OK
texlive-collection-mathextra        20130529-1           OK
texlive-collection-pictures         20130529-1           OK
time                                1.7-3                OK
transfig                            3.2.5d-3             OK
twm                                 1.0.7-1              OK
tzcode                              2013d-1              OK
units                               1.87-1               OK
unzip                               6.0-10               OK
util-linux                          2.21.2-1             OK
vim                                 7.3.1314-1           OK
vim-common                          7.3.1314-1           OK
vim-minimal                         7.3.1314-1           OK
w32api-headers                      3.0.0-1              OK
w32api-runtime                      3.0.0-1              OK
wget                                1.13.4-1             OK
which                               2.20-2               OK
WindowMaker                         0.95.4-1             OK
wput                                0.6.2-1              OK
xauth                               1.0.7-1              OK
xbitmaps                            1.1.1-1              OK
xcursor-themes                      1.0.4-1              OK
xextproto                           7.2.1-2              OK
xf86-video-dummy                    0.3.6-2              OK
xf86-video-nested                   0.1.0-3              OK
xfig                                3.2.5b-5             OK
xfig-lib                            3.2.5b-5             OK
xfontsel                            1.0.5-1              OK
xineramaproto                       1.2.1-1              OK
xinetd                              2.3.14-1             OK
xinit                               1.3.2-1              OK
xinput                              1.6.0-1              OK
xkbcomp                             1.2.4-1              OK
xkeyboard-config                    2.9-1                OK
xlaunch                             20130301-1           OK
xload                               1.1.1-1              OK
