Created via cygcheck -c command
The cygwin package version used to download was 2.83

Cygwin Package Information
Package                             Version            Status
liblzma5                            5.0.4-1            OK
liblzo2_2                           2.06-1             OK
libMagick-devel                     6.7.6.3-4          OK
libMagickCore5                      6.7.6.3-4          OK
libming-devel                       0.4.5-1            OK
libming1                            0.4.5-1            OK
libmpc3                             1.0.1-2            OK
libmpfr4                            3.1.2-1            OK
libmysqlclient18                    5.5.31-1           OK
libncursesw10                       5.9-4              OK
libneon27                           0.29.6-1           OK
libnetpbm10                         10.61.02-1         OK
libnettle-devel                     2.7-1              OK
libnettle4                          2.7-1              OK
libogg0                             1.3.1-1            OK
libopenjpeg-devel                   1.5.1-2            OK
libopenjpeg1                        1.5.1-2            OK
libopenldap2_4_2                    2.4.35-1           OK
libopenssl100                       1.0.1e-1           OK
libORBit2-devel                     2.14.19-2          OK
libORBit2_0                         2.14.19-2          OK
libosp5                             1.5.2-2            OK
libostyle1                          1.4devel1-3        OK
libp11-kit-devel                    0.18.7-1           OK
libp11-kit0                         0.18.7-1           OK
libpango1.0-devel                   1.34.1-1           OK
libpango1.0_0                       1.34.1-1           OK
libpaper-common                     1.1.24-2           OK
libpaper1                           1.1.24-2           OK
libpcre-devel                       8.33-1             OK
libpcre1                            8.33-1             OK
libpcre16_0                         8.33-1             OK
libpcre32_0                         8.33-1             OK
libpcrecpp0                         8.33-1             OK
libpcreposix0                       8.33-1             OK
libpixman1-devel                    0.30.2-1           OK
libpixman1_0                        0.30.2-1           OK
libpng-devel                        1.5.14-1           OK
libpng15                            1.5.14-1           OK
libpoppler28                        0.20.5-3           OK
libpopt-devel                       1.16-1             OK
libpopt0                            1.16-1             OK
libpq5                              9.2.4-2            OK
libproxy1                           0.4.11-2           OK
libpstoedit0                        3.61-1             OK
libptexenc1                         20130529-1         OK
libpulse0                           2.1-1              OK
libquadmath0                        4.8.2-1            OK
libquota-devel                      1.42.7-1           OK
librarian0                          0.8.1-12           OK
libreadline7                        6.2-1              OK
libroken18                          1.5.2-4            OK
librsvg2_2                          2.36.4-1           OK
libsasl2_3                          2.1.26-5           OK
libsecret1_0                        0.15-1             OK
libserf1_0                          1.3.2-1            OK
libSM-devel                         1.2.1-1            OK
libSM6                              1.2.1-1            OK
libsndfile1                         1.0.25-1           OK
libsoup-gnome2.4_1                  2.42.2-1           OK
libsoup2.4_1                        2.42.2-1           OK
libsource-highlight-common          3.1.7-3            OK
libsource-highlight4                3.1.7-3            OK
libsqlite3_0                        3.7.17-3           OK
libss-devel                         1.42.7-1           OK
libss2                              1.42.7-1           OK
libssh2_1                           1.4.2-1            OK
libssp0                             4.8.2-1            OK
libstdc++6                          4.8.2-1            OK
libtasn1-devel                      3.3-1              OK
libtasn1_6                          3.3-1              OK
libtdb1                             1.2.11-2           OK
libthai0                            0.1.19-1           OK
libtiff-devel                       3.9.7-3            OK
libtiff5                            3.9.7-3            OK
libtool                             2.4.2-3            OK
libturbojpeg                        1.2.1-2            OK
libunistring0                       0.9.3-2            OK
libuuid-devel                       2.21.2-1           OK
libuuid1                            2.21.2-1           OK
libvorbis                           1.3.3-1            OK
libvorbis0                          1.3.3-1            OK
libvorbisenc2                       1.3.3-1            OK
libvorbisfile3                      1.3.3-1            OK
libwind0                            1.5.2-4            OK
libwrap0                            7.6-21             OK
libX11-devel                        1.6.0-1            OK
libX11-xcb-devel                    1.6.0-1            OK
libX11-xcb1                         1.6.0-1            OK
libX11_6                            1.6.0-1            OK
libXau-devel                        1.0.8-1            OK
libXau6                             1.0.8-1            OK
libXaw-devel                        1.0.11-1           OK
libXaw3d-devel                      1.6.2-1            OK
libXaw3d8                           1.6.2-1            OK
libXaw7                             1.0.11-1           OK
libxcb-devel                        1.9.1-2            OK
libxcb-icccm4                       0.3.9-1            OK
libxcb-image0                       0.3.9-1            OK
libxcb-render-devel                 1.9.1-2            OK
libxcb-render0                      1.9.1-2            OK
libxcb-shm-devel                    1.9.1-2            OK
libxcb-shm0                         1.9.1-2            OK
libxcb-util1                        0.3.9-1            OK
libxcb1                             1.9.1-2            OK
libXcomposite-devel                 0.4.3-1            OK
libXcomposite1                      0.4.3-1            OK
libXcursor-devel                    1.1.14-1           OK
libXcursor1                         1.1.14-1           OK
libXdamage-devel                    1.1.4-1            OK
libXdamage1                         1.1.4-1            OK
libXdmcp-devel                      1.1.1-1            OK
libXdmcp6                           1.1.1-1            OK
libXext-devel                       1.3.2-1            OK
libXext6                            1.3.2-1            OK
libXfixes-devel                     5.0.1-1            OK
libXfixes3                          5.0.1-1            OK
libXft-devel                        2.3.1-1            OK
libXft2                             2.3.1-1            OK
libXi-devel                         1.7.2-1            OK
libXi6                              1.7.2-1            OK
libXinerama-devel                   1.1.3-1            OK
libXinerama1                        1.1.3-1            OK
libxkbfile1                         1.0.8-1            OK
libXm4                              2.3.4-1            OK
libxml2                             2.9.1-1            OK
libxml2-devel                       2.9.1-1            OK
libXmu-devel                        1.1.1-1            OK
libXmu6                             1.1.1-1            OK
libXmuu1                            1.1.1-1            OK
libXpm-devel                        3.5.10-1           OK
libXpm-noX-devel                    3.5.10-1           OK
libXpm-noX_4                        3.5.10-1           OK
libXpm4                             3.5.10-1           OK
libXrandr-devel                     1.4.1-1            OK
libXrandr2                          1.4.1-1            OK
libXrender-devel                    0.9.8-1            OK
libXrender1                         0.9.8-1            OK
libxslt                             1.1.28-1           OK
libxslt-devel                       1.1.28-1           OK
libXss1                             1.2.2-1            OK
libXt-devel                         1.1.4-1            OK
libXt6                              1.1.4-1            OK
libXtst6                            1.2.2-1            OK
libyaml0_2                          0.1.4-1            OK
libzzip0.13                         0.13.62-1          OK
login                               1.10-10            OK
luit                                20121014-1         OK
m4                                  1.4.17-1           OK
make                                4.0-2              OK
makedepend                          1.0.5-1            OK
man                                 1.6g-2             OK
mc                                  4.8.10-1           OK
mingw-binutils                      2.23.1-1           OK
mingw-bzip2                         1.0.6-2            OK
mingw-gcc-core                      4.7.3-1            OK
mingw-gcc-fortran                   4.7.3-1            OK
mingw-gcc-g++                       4.7.3-1            OK
mingw-libbz2-devel                  1.0.6-2            OK
mingw-libbz2_2                      1.0.6-2            OK
mingw-pthreads                      20110507-2         OK
mingw-runtime                       4.0-1              OK
mingw-w32api                        4.0-1              OK
mingw64-x86_64-binutils             20130314-1         OK
mingw64-x86_64-gcc-core             4.8.1-2            OK
mingw64-x86_64-gcc-fortran          4.8.1-2            OK
mingw64-x86_64-gcc-g++              4.8.1-2            OK
mingw64-x86_64-headers              3.0.0-1            OK
mingw64-x86_64-libgcrypt            1.5.1-1            OK
mingw64-x86_64-libgpg-error         1.11-1             OK
mingw64-x86_64-minizip              1.2.8-1            OK
mingw64-x86_64-runtime              3.0.0-1            OK
mingw64-x86_64-winpthreads          3.0b_svn5935-1     OK
mingw64-x86_64-xz                   5.0.4-1            OK
mingw64-x86_64-zlib                 1.2.8-1            OK
mintty                              1.2-beta1-1        OK
mkfontdir                           1.0.7-1            OK
mkfontscale                         1.1.1-1            OK
nano                                2.2.6-1            OK
nedit                               5.5-6              OK
netpbm                              10.61.02-1         OK
openjade                            1.4devel1-3        OK
OpenSP                              1.5.2-2            OK
openssh                             6.3p1-1            OK
openssl                             1.0.1e-1           OK
p11-kit                             0.18.7-1           OK
p11-kit-trust                       0.18.7-1           OK
patch                               2.7.1-1            OK
perl                                5.14.4-1           OK
perl-Business-ISBN                  2.06-1             OK
perl-Business-ISBN-Data             20120719.001-1     OK
perl-Business-ISMN                  1.11-1             OK
perl-Business-ISSN                  0.91-1             OK
perl-Data-Compare                   1.22-1             OK
perl-Data-Diver                     1.0101-1           OK
perl-Data-Dump                      1.22-1             OK
perl-Date-Simple                    3.03-1             OK
perl-DBI                            1.623-2            OK
perl-Encode-Locale                  1.03-1             OK
perl-Error                          0.17019-1          OK
perl-File-Find-Rule                 0.33-1             OK
perl-File-Listing                   6.04-1             OK
perl-File-Slurp                     9999.19-1          OK
perl-File-Slurp-Unicode             0.7.1-1            OK
perl-HTML-Parser                    3.70-1             OK
perl-HTML-Tagset                    3.20-1             OK
perl-HTTP-Cookies                   6.01-1             OK
perl-HTTP-Date                      6.02-1             OK
perl-HTTP-Message                   6.06-1             OK
perl-HTTP-Negotiate                 6.01-1             OK
perl-IO-Socket-SSL                  1.88-1             OK
perl-IPC-Run3                       0.045-1            OK
perl-List-AllUtils                  0.03-1             OK
perl-List-MoreUtils                 0.33-1             OK
perl-Log-Log4perl                   1.41-1             OK
perl-LWP                            6.05-1             OK
perl-LWP-MediaTypes                 6.02-1             OK
perl-LWP-Protocol-https             6.04-1             OK
perl-Mozilla-CA                     20130114-1         OK
perl-Net-HTTP                       6.06-1             OK
perl-Net-SSLeay                     1.54-1             OK
perl-Number-Compare                 0.03-1             OK
perl-Params-Util                    1.07-1             OK
perl-Readonly                       1.03-1             OK
perl-Regexp-Common                  2013031301-1       OK
perl-Text-BibTeX                    0.66-1             OK
perl-Text-Glob                      0.09-1             OK
perl-Tie-Cycle                      1.17-1             OK
perl-Tk                             804.030-3          OK
perl-Unicode-Collate                0.97-1             OK
perl-URI                            1.60-1             OK
perl-WWW-RobotRules                 6.02-1             OK
perl-XML-LibXML                     2.0018-1           OK
perl-XML-LibXML-Simple              0.93-1             OK
perl-XML-LibXSLT                    1.80-1             OK
perl-XML-NamespaceSupport           1.11-1             OK
perl-XML-Parser                     2.41-1             OK
perl-XML-SAX                        0.99-2             OK
perl-XML-SAX-Base                   1.08-1             OK
pkg-config                          0.27.1-1           OK
poppler-data                        0.4.6-1            OK
popt-devel                          1.16-1             OK
procps                              3.2.8-1            OK
psmisc                              22.20-1            OK
pstoedit-devel                      3.61-1             OK
python                              2.7.5-3            OK
python-avahi                        0.6.31-2           OK
python-cairo                        1.10.0-3           OK
python-dbus                         1.2.0-1            OK
python-gobject                      2.28.6-5           OK
python-gtk2.0                       2.24.0-3           OK
python-libxml2                      2.9.1-1            OK
python-numpy                        1.6.2-2            OK
python-setuptools                   0.6.34-1           OK
python-tkinter                      2.7.5-3            OK
randrproto                          1.4.0-1            OK
rarian                              0.8.1-12           OK
rebase                              4.4.0.1-1          OK
renderproto                         0.11.1-1           OK
rsh                                 0.17-2             OK
rsh-server                          0.17-2             OK
rsync                               3.0.9-1            OK
