TEDDI,2013-07-25 08:39:53.154,82,5,24,0,22016,216.76,285.0,44290,23.67,49,756,342,23.5,70.0,67.3
TEDDI,2013-07-25 10:11:13.792,71,5,24,15,96,23.25,285.0,615,57.60,10,1013,267,23.5,71.9,57.9
TEDDI,2013-07-25 10:11:19.807,71,5,24,16,72,23.25,285.0,624,57.60,246,297,267,37.9,45.8,40.3
TEDDI,2013-07-25 07:45:29.822,71,5,24,12288,35072,-10.11,285.0,56578,11.16,5,1021,243,23.5,76.8,61.2
TEDDI,2013-07-25 10:11:31.837,71,5,24,18,24,23.26,285.0,621,57.60,1,1009,154,23.5,78.5,62.9
TEDDI,2013-07-25 07:45:29.851,71,5,24,256,35072,-4.96,285.0,57346,33.03,8,1001,369,23.5,52.4,50.4
TEDDI,2013-07-25 10:11:28.330,91,5,24,20,96,23.28,18.0,605,56.51,25,305,115,23.5,71.5,64.0
TEDDI,2013-07-25 10:11:34.345,91,5,24,21,72,23.30,18.4,608,56.51,18,977,369,23.5,78.9,75.1
TEDDI,2013-07-25 10:11:40.360,91,5,24,22,48,23.28,19.0,608,56.51,4,913,397,23.5,78.8,75.9
TEDDI,2013-07-25 10:11:46.375,91,5,24,23,24,23.28,18.7,608,56.51,40,1021,266,23.5,76.0,69.3
TEDDI,2013-07-25 10:11:52.389,91,5,24,24,0,23.28,16.7,608,56.51,225,352,283,23.5,77.7,60.6
TEDDI,2013-07-25 10:11:36.239,72,5,24,20,96,23.43,37.0,598,57.03,45,314,254,23.5,55.9,53.6
TEDDI,2013-07-25 10:11:42.253,72,5,24,21,72,23.42,37.6,602,57.01,219,326,285,42.1,44.8,42.8
TEDDI,2013-07-25 10:11:48.268,72,5,24,22,48,23.42,38.2,602,57.03,81,302,268,23.5,61.8,56.4
TEDDI,2013-07-25 10:11:54.283,72,5,24,23,24,23.42,35.5,603,57.01,11,914,292,23.5,62.0,46.8
TEDDI,2013-07-25 10:12:00.298,72,5,24,24,0,23.42,32.7,601,57.01,85,724,303,23.5,74.0,68.5
TEDDI,2013-07-25 10:11:37.081,93,5,24,20,96,23.84,161.0,631,58.18,45,577,229,23.5,78.9,71.9
TEDDI,2013-07-25 10:11:43.098,93,5,24,21,72,23.84,163.6,633,58.18,69,881,439,23.5,78.9,73.6
TEDDI,2013-07-25 10:11:49.115,93,5,24,22,48,23.83,173.1,632,58.20,143,852,445,23.5,79.0,67.7
TEDDI,2013-07-25 10:11:54.880,93,5,24,23,25,23.83,181.7,632,58.20,271,318,288,39.2,41.2,40.3
TEDDI,2013-07-25 10:12:00.894,93,5,24,24,1,23.83,169.0,632,58.20,272,309,290,39.2,41.2,40.3
TEDDI,2013-07-25 10:11:40.455,110,5,24,20,96,24.01,138.1,603,54.54,89,996,347,23.5,76.3,71.8
TEDDI,2013-07-25 10:11:46.470,110,5,24,21,72,24.01,101.5,608,54.57,232,371,304,39.2,65.8,49.4
TEDDI,2013-07-25 10:11:52.485,110,5,24,22,48,24.01,141.5,610,54.57,214,373,306,37.9,68.7,48.4
TEDDI,2013-07-25 10:11:58.500,110,5,24,23,24,24.01,128.4,608,54.57,33,322,289,23.5,64.4,55.2
TEDDI,2013-07-25 10:12:04.264,110,5,24,24,1,24.01,140.3,607,54.57,218,328,303,37.9,45.8,40.3
TEDDI,2013-07-25 10:11:43.095,82,5,24,20,96,22.74,76.5,702,60.43,17,523,184,23.5,60.3,56.6
TEDDI,2013-07-25 10:11:49.110,82,5,24,21,72,22.74,81.6,705,60.43,266,304,280,34.7,43.5,36.5
TEDDI,2013-07-25 10:11:55.124,82,5,24,22,48,22.74,79.0,704,60.43,37,564,265,23.5,63.6,57.7
TEDDI,2013-07-25 10:12:01.139,82,5,24,23,24,22.74,80.3,704,60.43,41,500,178,23.5,62.6,57.7
TEDDI,2013-07-25 10:12:07.154,82,5,24,24,0,22.74,85.0,705,60.43,17,290,197,23.5,47.6,45.3
TEDDI,2013-07-25 10:11:43.687,71,5,24,20,96,23.26,285.0,615,57.60,5,1021,184,23.5,54.7,51.4
TEDDI,2013-07-25 10:11:49.702,71,5,24,21,72,23.25,285.0,620,57.60,41,310,254,23.5,63.3,54.0
TEDDI,2013-07-25 10:11:55.717,71,5,24,22,48,23.25,285.0,624,57.60,0,1020,343,23.5,76.0,68.1
TEDDI,2013-07-25 10:12:01.732,71,5,24,23,24,23.25,285.0,619,57.62,254,278,264,39.2,70.2,52.4
TEDDI,2013-07-25 10:12:07.746,71,5,24,24,0,23.25,285.0,624,57.62,0,1009,250,23.5,55.9,52.2
TEDDI,2013-07-25 10:11:58.332,91,5,24,25,96,23.28,21.7,605,56.51,4,868,311,23.5,78.7,71.5
TEDDI,2013-07-25 10:12:04.347,91,5,24,26,72,23.28,19.7,608,56.51,251,526,286,46.3,56.5,50.4
TEDDI,2013-07-25 10:12:10.362,91,5,24,27,48,23.28,19.7,608,56.51,1,276,139,23.5,63.6,59.6
TEDDI,2013-07-25 10:12:16.377,91,5,24,28,24,23.28,22.4,608,56.51,232,344,281,44.2,66.9,50.6
TEDDI,2013-07-25 10:12:22.391,91,5,24,29,0,23.28,21.0,608,56.54,241,296,272,23.5,69.0,60.3
TEDDI,2013-07-25 10:12:06.240,72,5,24,25,96,23.42,35.5,600,57.01,81,868,389,23.5,70.4,67.8
TEDDI,2013-07-25 10:12:12.255,72,5,24,26,72,23.42,37.9,601,57.01,33,288,155,23.5,69.1,64.2
TEDDI,2013-07-25 10:12:18.269,72,5,24,27,48,23.42,38.2,602,57.01,49,315,256,23.5,64.8,57.4
TEDDI,2013-07-25 10:12:24.285,72,5,24,28,24,23.42,36.4,603,57.01,21,309,132,23.5,70.5,62.4
TEDDI,2013-07-25 10:12:30.299,72,5,24,29,0,23.42,36.1,603,57.01,45,304,182,23.5,64.4,55.2
TEDDI,2013-07-25 10:12:06.976,93,5,24,25,96,23.83,285.0,626,58.20,33,307,217,23.5,52.4,50.9
TEDDI,2013-07-25 10:12:12.991,93,5,24,26,72,23.81,285.0,632,58.20,266,305,290,39.2,42.8,40.3
TEDDI,2013-07-25 10:12:19.006,93,5,24,27,48,23.81,285.0,632,58.20,45,308,194,23.5,58.4,52.8
TEDDI,2013-07-25 10:12:25.021,93,5,24,28,24,23.81,285.0,632,58.20,33,287,153,23.5,54.0,51.2
TEDDI,2013-07-25 10:12:31.036,93,5,24,29,0,23.81,285.0,631,58.20,17,820,311,23.5,74.7,72.8
